hhPersonID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10001952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0
10002161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0
10002422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0
10003121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0
10003123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0
10003124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0
10003852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,DRIVING,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006381.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006651.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,DRIVING,0.0,0.0,0.0,0.0
10007241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,DRIVING,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0
10007242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,DRIVING,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,DRIVING,0.0,0.0,DRIVING,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0
10009841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0
10009842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,0.0,0.0,0.0,0.0,0.0
10010391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,DRIVING
10010392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRIVING,DRIVING,0.0,0.0,0.0,0.0,0.0,DRIVING
