hhPersonID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10098521.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10099914.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,SHOPPING,SHOPPING,SHOPPING,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10101852.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10102051.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10102711.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,LEISURE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10102712.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,HOME,LEISURE,DRIVING,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10103741.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,HOME,HOME,HOME
10103742.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,HOME,HOME,HOME
10107101.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,HOME,HOME,HOME,HOME,HOME
10107102.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,HOME,HOME,HOME,HOME,HOME
10108931.0,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,SHOPPING,LEISURE,SHOPPING,SHOPPING,SHOPPING,SHOPPING,DRIVING,HOME,HOME,HOME
10108932.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,WORK,WORK,LEISURE,SHOPPING,SHOPPING,SHOPPING,SHOPPING,DRIVING,HOME,HOME,HOME
10109041.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,WORK,DRIVING,DRIVING,HOME,HOME,HOME,HOME
10109042.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10109043.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,0.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10109461.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,LEISURE,LEISURE,LEISURE,LEISURE,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10110001.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,WORK,WORK,DRIVING,WORK,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,HOME,HOME,HOME
10110421.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,LEISURE,LEISURE,LEISURE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
10110771.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,WORK,WORK,WORK,WORK,WORK,DRIVING,HOME,HOME
10110781.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,LEISURE,HOME,HOME,HOME,HOME
10110782.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,LEISURE,HOME,HOME,HOME,HOME
10110783.0,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,LEISURE,LEISURE,LEISURE,HOME,HOME,HOME,HOME
